Clade	Strain name	Contributor	Ecological source	Geological source
C1	M95	Y. Tomaru’s lab	Chaetoceros tenuissimus (diatom)	Ariake Sound in western Japan
C1	S32	Y. Tomaru’s lab	Chaetoceros tenuissimus (diatom)	Ariake Sound in western Japan
C1	KE12	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE26	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE27	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE32	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE33	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE34	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE35	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	KE37	C.R. Voolstra’s lab	Echinochalina sp. (sponge)	Red Sea
C1	Ks34	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	Ks39	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	Ks41	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	Ks42	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	Ks43	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	Ks46	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	KS8	C.R. Voolstra’s lab	Stylissa carteri (sponge)	Red Sea
C1	915	D.C. Zhang's Lab	seawater	South China Sea
C1	916	D.C. Zhang's Lab	seawater	South China Sea
C1	1A05707	Z.Z. Shao's Lab	coral sand	South China Sea (South)
C1	1A09044	Z.Z. Shao's Lab	deepsea sediment	South Atlantic 
C1	1A09134	Z.Z. Shao's Lab	deep seawater	South Atlantic 
C1	1A09368	Z.Z. Shao's Lab	Hydrothermal plume	South Atlantic 
C1	1A10359	Z.Z. Shao's Lab	deepsea sediment	Central Indian Ocean
C1	1A10444	Z.Z. Shao's Lab	Gorgonacea (coral)	South Atlantic 
C1	1A10445	Z.Z. Shao's Lab	Gorgonacea (coral)	South Atlantic 
C1	1A12057	Z.Z. Shao's Lab	deepsea sediment	South China Sea (North Basin)
C1	1A13353	Z.Z. Shao's Lab	deepsea sediment	East Pacific
C1	1A13730	Z.Z. Shao's Lab	deepsea sediment	West Pacific
C1	1A15333	Z.Z. Shao's Lab	deepsea sediment	East Pacific
C1	1A16787	Z.Z. Shao's Lab	deepsea sediment	East Pacific
C1	1A16808	Z.Z. Shao's Lab	deepsea sediment	East Pacific
C1	CS16	C.M. Sun's Lab	Sediment of Cold seep	South China Sea
C1	M21595	Z.Z. Shao's Lab	Victorgorgia sp. (coral)	West Pacific Philippine Sea Basin
C1	M22298	Z.Z. Shao's Lab	deep seawater	West Pacific Philippine Sea Basin
C1	M22386	Z.Z. Shao's Lab	deep seawater	West Pacific Philippine Sea Basin
C1	M23508	Z.Z. Shao's Lab	deep seawater	West Pacific Philippine Sea Basin
C1	M23905	Z.Z. Shao's Lab	deep seawater	West Pacific Philippine Sea Basin
