clade	strain	genomovar_99.5	ecological_source	geographical_source
C1	1A05707	C1.gv1	coral sand	South China Sea (South)
C1	1A09044	C1.gv1	deepsea sediment	South Atlantic
C1	1A09134	C1.gv1	deep seawater	South Atlantic
C1	1A09368	C1.gv1	Hydrothermal plume	South Atlantic
C1	1A10359	C1.gv1	deepsea sediment	Central Indian Ocean
C1	1A10444	C1.gv1	Gorgonacea (coral)	South Atlantic
C1	1A12057	C1.gv1	deepsea sediment	South China Sea (North Basin)
C1	1A13353	C1.gv1	deepsea sediment	East Pacific
C1	1A13730	C1.gv1	deepsea sediment	West Pacific
C1	1A16787	C1.gv1	deepsea sediment	East Pacific
C1	1A16808	C1.gv1	deepsea sediment	East Pacific
C1	915	C1.gv1	seawater	South China Sea
C1	CS16	C1.gv1	Sediment of Cold seep	South China Sea
C1	KE12	C1.gv1	Echinochalina sp. (sponge)	Red Sea
C1	Ks41	C1.gv1	Stylissa carteri (sponge)	Red Sea
C1	M21595	C1.gv1	Victorgorgia sp. (coral)	West Pacific Philippine Sea Basin
C1	M22298	C1.gv2	deep seawater	West Pacific Philippine Sea Basin
C1	M95	C1.gv1	Chaetoceros tenuissimus (diatom)	Ariake Sound in western Japan
C1	MOLA879	C1.gv1	microcosm experiment containing Aurelia aurita dissolved organic matter	Bages-Sigean lagoon water, France
C1	TB366	C1.gv1	seawater	East Pacific
C12	15WGC	C12.gv1	sediment	Arabian Sea
C12	1A09132	C12.gv1	deep seawater	South Atlantic
C12	1A09261	C12.gv1	deepsea sediment	South Atlantic
C12	HI0054	C12.gv1	Water column	near Hawaii
C12	KE28	C12.gv1	Echinochalina sp. (sponge)	Red Sea
C12	Ks38	C12.gv1	Stylissa carteri (sponge)	Red Sea
C12	R18-2	C12.gv1	Acropora humilis (coral)	Red Sea
C12	S46	C12.gv1	Chaetoceros tenuissimus (diatom)	Ariake Sound in western Japan
C2	1A12126	C2.gv1	deepsea sediment	South China Sea (North Basin)
C2	1A13191	C2.gv2	deep seawater	East Pacific
C2	1A15106	C2.gv1	deepsea sediment	East Pacific
C9	KE38	C9.gv1	Echinochalina sp. (sponge)	Red Sea
C9	Ks11	C9.gv1	Stylissa carteri (sponge)	Red Sea
C9	M85	C9.gv1	Chaetoceros tenuissimus (diatom)	Ariake Sound in western Japan
C6	1A15142	C6.gv1	deepsea sediment	East Pacific
C6	1A15258	C6.gv1	deepsea sediment	West Pacific
C10	R18-1	C10.gv1	Acropora humilis (coral)	Red Sea
C11	1A12779	C11.gv1	deepsea sediment	East Pacific
C13	1A15299	C13.gv1	deepsea sediment	West Pacific
C14	1A12157	C14.gv1	seawater	Indian Ocean
C3	1A13679	C3.gv1	deepsea sediment	Pacific Ocean
C4	1A13368	C4.gv1	seawater	West Pacific
C5	1A13421	C5.gv1	deep seawater	West Pacific
C7	1A13496	C7.gv1	deepsea sediment	West Pacific
C8	1A12056	C8.gv1	deepsea sediment	South China Sea (North Basin)
