linkage	threshold	clade	n_genomes	n_genomovars	sizes
average	99.2	C1	20	1	20
average	99.2	C12	8	1	8
average	99.2	C2	3	1	3
average	99.2	C9	3	1	3
average	99.2	C6	2	1	2
average	99.5	C1	20	2	19,1
average	99.5	C12	8	1	8
average	99.5	C2	3	2	2,1
average	99.5	C9	3	1	3
average	99.5	C6	2	1	2
average	99.8	C1	20	14	5,2,2,1,1,1,1,1,1,1,1,1,1,1
average	99.8	C12	8	2	7,1
average	99.8	C2	3	3	1,1,1
average	99.8	C9	3	1	3
average	99.8	C6	2	1	2
single	99.2	C1	20	1	20
single	99.2	C12	8	1	8
single	99.2	C2	3	1	3
single	99.2	C9	3	1	3
single	99.2	C6	2	1	2
single	99.5	C1	20	1	20
single	99.5	C12	8	1	8
single	99.5	C2	3	2	2,1
single	99.5	C9	3	1	3
single	99.5	C6	2	1	2
single	99.8	C1	20	10	10,2,1,1,1,1,1,1,1,1
single	99.8	C12	8	2	7,1
single	99.8	C2	3	3	1,1,1
single	99.8	C9	3	1	3
single	99.8	C6	2	1	2
complete	99.2	C1	20	3	15,4,1
complete	99.2	C12	8	1	8
complete	99.2	C2	3	1	3
complete	99.2	C9	3	1	3
complete	99.2	C6	2	1	2
complete	99.5	C1	20	6	7,6,2,2,2,1
complete	99.5	C12	8	1	8
complete	99.5	C2	3	2	2,1
complete	99.5	C9	3	1	3
complete	99.5	C6	2	1	2
complete	99.8	C1	20	15	4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
complete	99.8	C12	8	2	7,1
complete	99.8	C2	3	3	1,1,1
complete	99.8	C9	3	1	3
complete	99.8	C6	2	1	2
